,text
0,Multiple factors make it a candidate wellsuited for further study using NASAs James Webb Space Telescope
1,Hurt CaltechIPAC TESS stares at a large swath of the sky for about a month at a time tracking the brightness changes of tens of thousands of stars at intervals ranging from  seconds to  minutes
2,Capturing transits  brief regular dimmings of stars caused by the passage of orbiting worlds  is one of the missions primary goals
3,Although we dont yet know whether it possesses an atmosphere weve been thinking of it as an exoVenus with similar size and energy received from its star as our planetary neighbor in the solar system
4,The host star called Gliese  is a cool red dwarf located almost  lightyears away in the constellation Pisces
5,The star is only about  of the Suns size with about  of the Suns surface temperature
6,days and is Earths size or slightly smaller  comparable to Venus
7,Assuming it has no atmosphere the planet has a surface temperature estimated at around  degrees Fahrenheit  degrees Celsius
8,Astronomers say that the diminutive sizes and masses of red dwarf stars make them ideal for finding Earthsize planets
9,A smaller star means greater dimming for each transit and a lower mass means an orbiting planet can produce a greater wobble known as reflex motion of the star
10,Gliese  bs estimated size may be as large as Earth or slightly smaller  comparable to Venus in our solar system
11,This artists concept compares Earth with different possible Gliese  b interpretations from one with no atmosphere to one with a thick Venuslike one
12,This makes it easier to detect transiting planets within habitable zones around red dwarfs than those around stars emitting more energy
13,The distance separating Gliese  and the new planet is just  of the distance between Earth and the Sun
14,Gliese  b represents one of the best targets to study whether Earthsize planets orbiting cool stars can retain their atmospheres a crucial step to advance our understanding of habitability on planets across our galaxy said Shishir Dholakia a doctoral student at the Centre for Astrophysics at the University of Southern Queensland in Australia
15,He coled a different research team with Larissa Palethorpe a doctoral student at the University of Edinburgh and University College London
16,Both teams suggest that studying Gliese  b may help unlock some aspects of our own solar systems evolution
17,It is thought that Earths and Venuss first atmospheres were stripped away and then replenished by volcanic outgassing and bombardments from residual material in the solar system Palethorpe explained
18,The Earth is habitable but Venus is not due to its complete loss of water
19,Because Gliese  b is between Earth and Venus in temperature its atmosphere could teach us a lot about the habitability pathways planets take as they develop
20,One important factor in retaining an atmosphere is the storminess of its star
21,Red dwarfs tend to be magnetically active resulting in frequent powerful Xray flares
22,A paper led by Kuzuhara and Fukui was published May  in The Astrophysical Journal Letters
23,The Dholakia and Palethorpe findings were published in Monthly Notices of the Royal Astronomical Society on the same day
24,During a transit the host stars light passes through any atmosphere
25,Different gas molecules absorb different colors so the transit provides a set of chemical fingerprints that can be detected by telescopes like Webb
26,We know of only a handful of temperate planets similar to Earth that are both close enough to us and meet other criteria needed for this kind of study called transmission spectroscopy using current facilities said Michael McElwain a research astrophysicist at NASAs Goddard Space Flight Center in Greenbelt Maryland and a coauthor of the Kuzuhara and Fukui paper
27,To better understand the diversity of atmospheres and evolutionary outcomes for these planets we need more examples like Gliese  b
28,TESS is a NASA Astrophysics Explorer mission managed by NASA Goddard and operated by MIT in Cambridge Massachusetts
29,Additional partners include Northrop Grumman based in Falls Church Virginia NASAs Ames Research Center in Californias Silicon Valley the Center for Astrophysics  Harvard  Smithsonian in Cambridge Massachusetts MITs Lincoln Laboratory and the Space Telescope Science Institute in Baltimore
30,More than a dozen universities research institutes and observatories worldwide are participants in the mission
31,Download additional images and video from NASAs Scientific Visualization Studio By Francis Reddy NASAs Goddard Space Flight Center Greenbelt Md
32,Webbs instruments are so sensitive that they were able to detect an unusual amount of dense gas surrounding these galaxies
33,This gas will likely end up fueling the formation of new stars in the galaxies
34,These galaxies are like sparkling islands in a sea of otherwise neutral opaque gas explained Kasper Heintz the lead author and an assistant professor of astrophysics at the Cosmic Dawn Center DAWN at the University of Copenhagen in Denmark
35,Without Webb we would not be able to observe these very early galaxies let alone learn so much about their formation
36,Were moving away from a picture of galaxies as isolated ecosystems
37,At this stage in the history of the universe galaxies are all intimately connected to the intergalactic medium with its filaments and structures of pristine gas added Simone Nielsen a coauthor and PhD student also based at DAWN
38,This suggests that we are seeing the assembly of neutral hydrogen gas into galaxies
39,That gas will go on to cool clump and form new stars
40,The universe was a very different place several hundred million years after the big bang during a period known as the Era of Reionization
41,Gas throughout the universe only became fully transparent around  billion years after the big bang
42,Galaxies stars contributed to heating and ionizing the gas around them causing the gas to eventually become completely transparent
43,By matching Webbs data to models of star formation the researchers also found that these galaxies primarily have populations of young stars
44,The fact that we are seeing large gas reservoirs also suggests that the galaxies have not had enough time to form most of their stars yet Watson added
45,This is Only the Start Webb is not only meeting the mission goals that drove its development and launch  it is exceeding them
46,Images and data of these distant galaxies were impossible to obtain before Webb explained Gabriel Brammer a coauthor and associate professor at DAWN
47,The next step is to build large statistical samples of galaxies and quantify the prevalence and prominence of their features in detail Heintz said
48,This work has been published in the May   issue of the journal Science
49,The James Webb Space Telescope is the worlds premier space science observatory
50,Webb is solving mysteries in our solar system looking beyond to distant worlds around other stars and probing the mysterious structures and origins of our universe and our place in it
51,Webb is an international program led by NASA with its partners ESA European Space Agency and CSA Canadian Space Agency
52,Downloads Right click any image to save it or open a larger version in a new tabwindow via the browsers popup menu
53,ViewDownload full resolution images for this article from the Space Telescope Science Institute
54,Research Paper published in the May   issue of the journal Science
55,That may sound impossible but its actually true said Richard Kelley the U
56,principal investigator for XRISM at NASAs Goddard Space Flight Center in Greenbelt Maryland
57,The Resolve instrument gives us a deeper look at the makeup and motion of Xrayemitting objects using technology invented and refined at Goddard over the past several decades
58,XRISM pronounced crism is led by JAXA Japan Aerospace Exploration Agency in collaboration with NASA along with contributions from ESA European Space Agency
59,It launched into orbit last September and has been scrutinizing the cosmos ever since
60,It will probe the universes hottest regions largest structures and objects with the strongest gravity like supermassive black holes in the cores of distant galaxies
61,The device produces a spectrum of Xray sources between  and  electron volts  up to  times the energy of visible light  with unprecedented detail
62,Its detector takes the temperature of each Xray that strikes it said Brian Williams NASAs XRISM project scientist at Goddard
63,We call Resolve a microcalorimeter spectrometer because each of its  pixels is measuring tiny amounts of heat delivered by each incoming Xray allowing us to see the chemical fingerprints of elements making up the sources in unprecedented detail
64,In order to accomplish this the entire detector must be chilled to
65,The instrument is so precise it can detect the motions of elements within a target effectively providing a D view
66,Gas moving toward us glows at slightly higher energies than normal while gas moving away from us emits slightly lower energies
67,This will for example allow scientists to better understand the flow of hot gas within clusters of galaxies and to track the movement of different elements in the debris of supernova explosions
68,Resolve is taking astronomers into a new era of cosmic exploration  and with only threedozen pixels
69,XRISM is a collaborative mission between JAXA and NASA with contributions from over  institutions in Japan the U
70,NASA Goddard developed the Resolve detector and many of the instrument subsystems together with the two Xray Mirror Assemblies
71,Download highresolution video and images from NASAs Scientific Visualization Studio By Francis Reddy NASAs Goddard Space Flight Center Greenbelt Md
72,MIN READ NASAs TESS Finds Intriguing World Sized Between Earth Venus Using observations by NASAs TESS Transiting Exoplanet Survey Satellite and many other facilities two international teams of astronomers have discovered a planet between the sizes of Earth and Venus only  lightyears away
73,Multiple factors make it a candidate wellsuited for further study using NASAs James Webb Space Telescope
74,Hurt CaltechIPAC TESS stares at a large swath of the sky for about a month at a time tracking the brightness changes of tens of thousands of stars at intervals ranging from  seconds to  minutes
75,Capturing transits  brief regular dimmings of stars caused by the passage of orbiting worlds  is one of the missions primary goals
76,Although we dont yet know whether it possesses an atmosphere weve been thinking of it as an exoVenus with similar size and energy received from its star as our planetary neighbor in the solar system
77,The host star called Gliese  is a cool red dwarf located almost  lightyears away in the constellation Pisces
78,The star is only about  of the Suns size with about  of the Suns surface temperature
79,days and is Earths size or slightly smaller  comparable to Venus
80,Assuming it has no atmosphere the planet has a surface temperature estimated at around  degrees Fahrenheit  degrees Celsius
81,Astronomers say that the diminutive sizes and masses of red dwarf stars make them ideal for finding Earthsize planets
82,A smaller star means greater dimming for each transit and a lower mass means an orbiting planet can produce a greater wobble known as reflex motion of the star
83,Gliese  bs estimated size may be as large as Earth or slightly smaller  comparable to Venus in our solar system
84,This artists concept compares Earth with different possible Gliese  b interpretations from one with no atmosphere to one with a thick Venuslike one
85,This makes it easier to detect transiting planets within habitable zones around red dwarfs than those around stars emitting more energy
86,The distance separating Gliese  and the new planet is just  of the distance between Earth and the Sun
87,Gliese  b represents one of the best targets to study whether Earthsize planets orbiting cool stars can retain their atmospheres a crucial step to advance our understanding of habitability on planets across our galaxy said Shishir Dholakia a doctoral student at the Centre for Astrophysics at the University of Southern Queensland in Australia
88,He coled a different research team with Larissa Palethorpe a doctoral student at the University of Edinburgh and University College London
89,Both teams suggest that studying Gliese  b may help unlock some aspects of our own solar systems evolution
90,It is thought that Earths and Venuss first atmospheres were stripped away and then replenished by volcanic outgassing and bombardments from residual material in the solar system Palethorpe explained
91,The Earth is habitable but Venus is not due to its complete loss of water
92,Because Gliese  b is between Earth and Venus in temperature its atmosphere could teach us a lot about the habitability pathways planets take as they develop
93,One important factor in retaining an atmosphere is the storminess of its star
94,Red dwarfs tend to be magnetically active resulting in frequent powerful Xray flares
