,text
0,MIN READ NASAs TESS Finds Intriguing World Sized Between Earth Venus Using observations by NASAs TESS Transiting Exoplanet Survey Satellite and many other facilities two international teams of astronomers have discovered a planet between the sizes of Earth and Venus only  lightyears away
1,Multiple factors make it a candidate wellsuited for further study using NASAs James Webb Space Telescope
2,Hurt CaltechIPAC TESS stares at a large swath of the sky for about a month at a time tracking the brightness changes of tens of thousands of stars at intervals ranging from  seconds to  minutes
3,Capturing transits  brief regular dimmings of stars caused by the passage of orbiting worlds  is one of the missions primary goals
4,Although we dont yet know whether it possesses an atmosphere weve been thinking of it as an exoVenus with similar size and energy received from its star as our planetary neighbor in the solar system
5,The host star called Gliese  is a cool red dwarf located almost  lightyears away in the constellation Pisces
6,The star is only about  of the Suns size with about  of the Suns surface temperature
7,days and is Earths size or slightly smaller  comparable to Venus
8,Assuming it has no atmosphere the planet has a surface temperature estimated at around  degrees Fahrenheit  degrees Celsius
9,Astronomers say that the diminutive sizes and masses of red dwarf stars make them ideal for finding Earthsize planets
10,A smaller star means greater dimming for each transit and a lower mass means an orbiting planet can produce a greater wobble known as reflex motion of the star
11,Gliese  bs estimated size may be as large as Earth or slightly smaller  comparable to Venus in our solar system
12,This artists concept compares Earth with different possible Gliese  b interpretations from one with no atmosphere to one with a thick Venuslike one
13,This makes it easier to detect transiting planets within habitable zones around red dwarfs than those around stars emitting more energy
14,The distance separating Gliese  and the new planet is just  of the distance between Earth and the Sun
15,Gliese  b represents one of the best targets to study whether Earthsize planets orbiting cool stars can retain their atmospheres a crucial step to advance our understanding of habitability on planets across our galaxy said Shishir Dholakia a doctoral student at the Centre for Astrophysics at the University of Southern Queensland in Australia
16,He coled a different research team with Larissa Palethorpe a doctoral student at the University of Edinburgh and University College London
17,Both teams suggest that studying Gliese  b may help unlock some aspects of our own solar systems evolution
18,It is thought that Earths and Venuss first atmospheres were stripped away and then replenished by volcanic outgassing and bombardments from residual material in the solar system Palethorpe explained
19,The Earth is habitable but Venus is not due to its complete loss of water
20,Because Gliese  b is between Earth and Venus in temperature its atmosphere could teach us a lot about the habitability pathways planets take as they develop
21,One important factor in retaining an atmosphere is the storminess of its star
22,Red dwarfs tend to be magnetically active resulting in frequent powerful Xray flares
